date,hour,value
2014-02-06,06,159303.0
2014-02-06,07,186454.0
2014-02-06,08,204468.0
2014-02-06,09,209910.0
2014-02-06,10,212753.0
2014-02-06,11,212138.0
2014-02-06,12,210563.0
2014-02-06,13,208771.0
2014-02-06,14,199881.0
2014-02-06,15,195544.0
2014-02-06,16,195388.0
2014-02-06,17,196478.0
2014-02-06,18,203528.0
2014-02-06,19,219623.0
2014-02-06,20,222220.0
2014-02-06,21,218241.0
2014-02-06,22,202241.0
2014-02-06,23,185646.0
2014-02-07,00,169603.0
2014-02-07,01,155969.0
2014-02-07,02,146149.0
2014-02-07,03,141766.0
2014-02-07,04,140169.0
2014-02-07,05,144016.0
2014-02-07,06,157178.0
2014-02-07,07,185610.0
2014-02-07,08,203665.0
2014-02-07,09,209650.0
2014-02-07,10,211897.0
2014-02-07,11,211623.0
2014-02-07,12,209671.0
2014-02-07,13,209097.0
2014-02-07,14,202226.0
2014-02-07,15,197250.0
2014-02-07,16,196684.0
2014-02-07,17,196842.0
2014-02-07,18,202325.0
2014-02-07,19,215134.0
2014-02-07,20,217027.0
2014-02-07,21,211565.0
2014-02-07,22,198758.0
2014-02-07,23,185074.0
2014-02-08,00,171381.0
2014-02-08,01,156591.0
2014-02-08,02,147014.0
2014-02-08,03,140713.0
2014-02-08,04,137136.0
2014-02-08,05,135621.0
2014-02-08,06,137570.0
2014-02-08,07,146324.0
2014-02-08,08,154252.0
2014-02-08,09,172351.0
2014-02-08,10,185789.0
2014-02-08,11,189307.0
2014-02-08,12,188439.0
2014-02-08,13,188810.0
2014-02-08,14,184463.0
2014-02-08,15,177673.0
2014-02-08,16,171637.0
2014-02-08,17,170457.0
2014-02-08,18,177333.0
2014-02-08,19,192237.0
2014-02-08,20,194564.0
2014-02-08,21,193908.0
2014-02-08,22,186069.0
2014-02-08,23,173782.0
2014-02-09,00,158587.0
2014-02-09,01,144385.0
2014-02-09,02,134021.0
2014-02-09,03,126142.0
2014-02-09,04,123734.0
2014-02-09,05,124078.0
2014-02-09,06,127092.0
2014-02-09,07,131391.0
2014-02-09,08,133280.0
2014-02-09,09,145861.0
2014-02-09,10,160850.0
2014-02-09,11,169740.0
2014-02-09,12,172532.0
2014-02-09,13,177009.0
2014-02-09,14,177107.0
2014-02-09,15,167765.0
2014-02-09,16,163314.0
2014-02-09,17,162488.0
2014-02-09,18,170411.0
2014-02-09,19,185909.0
2014-02-09,20,193059.0
2014-02-09,21,192593.0
2014-02-09,22,186147.0
2014-02-09,23,172820.0
2014-02-10,00,154390.0
2014-02-10,01,140005.0
2014-02-10,02,130246.0
2014-02-10,03,126111.0
2014-02-10,04,125940.0
2014-02-10,05,130528.0
2014-02-10,06,148738.0
2014-02-10,07,180826.0
2014-02-10,08,201101.0
2014-02-10,09,209947.0
2014-02-10,10,215903.0
2014-02-10,11,216849.0
2014-02-10,12,216092.0
2014-02-10,13,216290.0
2014-02-10,14,209120.0
2014-02-10,15,205543.0
2014-02-10,16,203277.0
2014-02-10,17,204766.0
2014-02-10,18,208092.0
2014-02-10,19,224568.0
2014-02-10,20,227042.0
2014-02-10,21,222482.0
2014-02-10,22,206500.0
2014-02-10,23,187157.0
2014-02-11,00,171483.0
2014-02-11,01,157359.0
2014-02-11,02,148092.0
2014-02-11,03,144200.0
2014-02-11,04,143586.0
2014-02-11,05,147349.0
2014-02-11,06,160649.0
2014-02-11,07,189825.0
2014-02-11,08,210159.0
2014-02-11,09,219521.0
2014-02-11,10,225841.0
2014-02-11,11,227464.0
2014-02-11,12,226061.0
2014-02-11,13,226746.0
