date,value,price,weekday,working_day,madrid_temp,barcelona_temp,bilbao_temp,sevilla_temp,valencia_temp
2020-09-07,3942129.0,98.74041666666666,0,1,21.10931791666669,18.85860583333336,16.423191666666686,27.870487916666686,21.031039583333357
2020-09-08,3989588.0,101.10875,1,1,19.69747416666669,20.26786833333336,17.71871500000002,26.99712458333336,22.12708708333336
2020-09-09,4101108.0,105.645,2,1,21.386204166666687,20.39936750000002,18.347070000000024,26.67341291666669,22.103752500000024
2020-09-10,4126725.0,105.23166666666668,3,1,23.501000833333357,21.20244916666669,19.15240916666669,27.072962083333355,23.08210875000002
2020-09-11,3999549.0,106.64708333333334,4,1,24.611567083333355,22.83226916666669,19.27493541666669,27.43480958333336,24.790613333333354
2020-09-12,3725231.0,100.12333333333332,5,1,25.338353750000024,23.494379166666693,19.593002916666688,28.766849583333357,24.795353333333363
2020-09-13,3472226.0,95.39916666666666,6,1,25.556257500000022,23.83723333333336,22.08379458333336,28.577620000000024,25.23318541666669
2020-09-14,4128301.0,102.80583333333334,0,1,24.58499583333336,22.78764166666669,24.75405291666669,26.53196708333336,24.52145666666669
2020-09-15,4250982.0,108.44083333333332,1,1,21.96510125000003,22.82139458333336,21.384737500000025,25.66377166666669,25.252628750000024
2020-09-16,4313938.0,110.81291666666668,2,1,23.12174916666669,22.981753333333355,21.325494166666687,24.91703541666669,25.00983125000003
2020-09-17,4234509.0,106.44333333333331,3,1,21.56165916666669,23.580590416666684,23.27925833333336,23.839725416666685,24.398859166666696
2020-09-18,4079626.0,102.56958333333334,4,1,17.47972083333335,22.722445833333364,23.74711625000002,20.67453333333336,23.402804166666687
2020-09-19,3566160.0,98.8325,5,1,17.066716250000017,21.73224333333336,19.694501666666685,21.467757500000022,23.960181250000023
2020-09-20,3276096.0,100.12333333333332,6,1,17.780307500000024,21.921024583333363,18.34884166666669,21.957625833333356,24.457065000000014
2020-09-21,3902482.0,109.31541666666668,0,1,18.17239833333336,20.550073333333355,17.393457916666687,23.566207500000026,23.75251833333336
2020-09-22,4029451.0,110.47166666666668,1,1,18.295180833333355,19.82938041666669,17.658938333333356,23.277186250000028,23.36034666666669
2020-09-23,4056344.0,104.14041666666668,2,1,18.113010833333355,20.97771666666669,18.104821666666687,22.498650000000023,24.71704416666669
2020-09-24,4052320.0,98.38333333333333,3,1,18.00698541666669,21.48605958333336,15.892671666666688,23.751407916666693,25.22422708333336
2020-09-25,3921346.0,84.60000000000001,4,1,14.058332500000018,17.94479625000002,12.278122500000022,21.630427083333363,22.20069833333336
2020-09-26,3462463.0,87.76875,5,1,14.497317500000015,17.428928333333353,13.58185208333336,21.06829375000002,21.16073916666669
2020-09-27,3199703.0,84.47541666666667,6,1,16.347062083333363,16.61638708333336,13.312433333333354,21.66202041666669,21.21577416666669
2020-09-28,3801916.0,101.37958333333334,0,1,15.584393750000029,17.314202500000018,13.768141666666692,23.12383250000002,19.66758541666669
2020-09-29,3943620.0,107.85541666666668,1,1,17.984256250000016,18.675175416666686,14.103113750000023,23.93652666666669,19.74067666666669
2020-09-30,3966114.0,108.97458333333331,2,1,18.53074416666669,18.010195833333356,15.017765416666691,22.889745000000023,20.29475250000002
2020-10-01,4002749.0,100.92666666666666,3,1,17.35158833333335,19.99552875000002,15.116977500000024,21.929266250000023,24.017702500000016
2020-10-02,3972781.0,82.41333333333334,4,1,12.440983750000022,16.650667500000015,12.511722083333352,19.00190500000002,19.606723333333356
2020-10-03,3473666.0,76.89708333333333,5,1,12.00248625000002,14.986829583333355,12.15735166666669,17.541090833333357,18.10944958333336
2020-10-04,3253263.0,71.69666666666667,6,1,11.74538750000002,15.692854583333352,13.062057083333356,18.285770000000028,18.56284875000002
2020-10-05,3863449.0,94.78208333333332,0,1,12.847987083333358,15.37181041666669,13.835390416666687,19.227543750000024,18.84168000000002
2020-10-06,3966388.0,100.29083333333334,1,1,16.34819875000002,17.905257916666688,17.615907916666693,21.88807541666669,20.709758750000024
2020-10-07,4000694.0,103.55708333333332,2,1,17.134138333333357,19.073663333333357,16.21652666666669,23.76350416666669,22.44436000000002
