date,hour,value
30/04/2014,4,99.78
30/04/2014,5,101.34
30/04/2014,6,109.56
30/04/2014,7,110.56
30/04/2014,8,112.94
30/04/2014,9,113.77
30/04/2014,10,112.33
30/04/2014,11,110.43
30/04/2014,12,107.81
30/04/2014,13,107.66
30/04/2014,14,105.6
30/04/2014,15,101.84
30/04/2014,16,99.27
30/04/2014,17,98.79
30/04/2014,18,98.35
30/04/2014,19,101.38
30/04/2014,20,108.14
30/04/2014,21,112.58
30/04/2014,22,108.06
30/04/2014,23,100.14
01/05/2014,0,105.09
01/05/2014,1,103.9
01/05/2014,2,101.97
01/05/2014,3,103.61
01/05/2014,4,102.58
01/05/2014,5,102.61
01/05/2014,6,102.23
01/05/2014,7,101.37
01/05/2014,8,96.73
01/05/2014,9,97.69
01/05/2014,10,96.99
01/05/2014,11,96.32
01/05/2014,12,96.13
01/05/2014,13,96.18
01/05/2014,14,94.69
01/05/2014,15,93.23
01/05/2014,16,88.35
01/05/2014,17,85.72
01/05/2014,18,87.28
01/05/2014,19,91.28
01/05/2014,20,95.82
01/05/2014,21,99.52
01/05/2014,22,98.75
01/05/2014,23,94.74
02/05/2014,0,90.1
02/05/2014,1,89.29
02/05/2014,2,89.82
02/05/2014,3,89.8
02/05/2014,4,87.26
02/05/2014,5,89.51
02/05/2014,6,95.59
02/05/2014,7,99.1
02/05/2014,8,100.04
02/05/2014,9,98.75
02/05/2014,10,97.67
02/05/2014,11,96.25
02/05/2014,12,94.78
02/05/2014,13,94.47
02/05/2014,14,91.2
02/05/2014,15,88.35
02/05/2014,16,87.23
02/05/2014,17,87.99
02/05/2014,18,87.73
02/05/2014,19,85.68
02/05/2014,20,92.29
02/05/2014,21,101.24
02/05/2014,22,92.98
02/05/2014,23,86.73
03/05/2014,0,96.48
03/05/2014,1,98.25
03/05/2014,2,94.38
03/05/2014,3,92.51
03/05/2014,4,88.86
03/05/2014,5,90.33
03/05/2014,6,93.49
03/05/2014,7,93.99
03/05/2014,8,91.15
03/05/2014,9,89.66
03/05/2014,10,90.49
03/05/2014,11,89.89
03/05/2014,12,90.78
03/05/2014,13,94.22
03/05/2014,14,94.12
03/05/2014,15,92.95
03/05/2014,16,91.38
03/05/2014,17,91.69
03/05/2014,18,92.87
03/05/2014,19,95.28
03/05/2014,20,101.08
03/05/2014,21,107.17
03/05/2014,22,105.49
03/05/2014,23,102.82
04/05/2014,0,103.42
04/05/2014,1,103.78
04/05/2014,2,98.46
04/05/2014,3,98.62
04/05/2014,4,98.78
04/05/2014,5,99.0
04/05/2014,6,99.49
04/05/2014,7,101.37
04/05/2014,8,99.74
04/05/2014,9,101.59
04/05/2014,10,103.01
04/05/2014,11,103.29
04/05/2014,12,104.21
04/05/2014,13,105.17
04/05/2014,14,105.28
04/05/2014,15,103.69
04/05/2014,16,103.38
04/05/2014,17,105.06
04/05/2014,18,106.86
04/05/2014,19,106.8
04/05/2014,20,111.75
04/05/2014,21,134.27
04/05/2014,22,146.03
04/05/2014,23,114.73
05/05/2014,0,115.74
05/05/2014,1,114.12
05/05/2014,2,111.4
05/05/2014,3,110.2
05/05/2014,4,108.56
05/05/2014,5,110.34
05/05/2014,6,113.5
05/05/2014,7,114.3
05/05/2014,8,116.97
05/05/2014,9,118.3
05/05/2014,10,117.07
05/05/2014,11,115.27
05/05/2014,12,115.13
05/05/2014,13,113.88
05/05/2014,14,112.42
05/05/2014,15,110.89
05/05/2014,16,110.57
05/05/2014,17,111.95
05/05/2014,18,111.95
05/05/2014,19,111.7
05/05/2014,20,114.03
05/05/2014,21,121.99
05/05/2014,22,117.45
05/05/2014,23,111.63
06/05/2014,0,112.38
06/05/2014,1,110.17
06/05/2014,2,108.81
06/05/2014,3,106.86
06/05/2014,4,106.75
06/05/2014,5,108.21
06/05/2014,6,112.92
06/05/2014,7,114.97
06/05/2014,8,118.64
06/05/2014,9,119.87
06/05/2014,10,117.9
06/05/2014,11,115.85
06/05/2014,12,116.19
06/05/2014,13,114.35
06/05/2014,14,111.85
06/05/2014,15,110.94
06/05/2014,16,110.78
06/05/2014,17,112.69
06/05/2014,18,112.92
06/05/2014,19,114.56
06/05/2014,20,123.39
06/05/2014,21,126.96
06/05/2014,22,119.64
06/05/2014,23,114.0
07/05/2014,0,115.61
07/05/2014,1,113.49
07/05/2014,2,108.56
07/05/2014,3,107.1
07/05/2014,4,107.09
07/05/2014,5,107.65
07/05/2014,6,114.98
07/05/2014,7,119.42
07/05/2014,8,122.48
07/05/2014,9,123.03
07/05/2014,10,122.81
07/05/2014,11,122.75
07/05/2014,12,123.51
07/05/2014,13,122.62
07/05/2014,14,120.91
07/05/2014,15,120.92
07/05/2014,16,120.91
07/05/2014,17,121.74
07/05/2014,18,119.5
07/05/2014,19,117.33
07/05/2014,20,121.01
07/05/2014,21,123.6
07/05/2014,22,115.2
07/05/2014,23,112.58
08/05/2014,0,114.17
08/05/2014,1,113.35
08/05/2014,2,108.59
08/05/2014,3,106.98
08/05/2014,4,106.96
08/05/2014,5,106.99
08/05/2014,6,114.89
08/05/2014,7,120.93
08/05/2014,8,120.96
08/05/2014,9,122.59
08/05/2014,10,120.9
08/05/2014,11,119.81
08/05/2014,12,121.83
08/05/2014,13,120.19
08/05/2014,14,117.26
08/05/2014,15,115.29
08/05/2014,16,113.53
08/05/2014,17,114.56
08/05/2014,18,114.64
08/05/2014,19,114.62
08/05/2014,20,118.26
08/05/2014,21,123.63
08/05/2014,22,118.67
08/05/2014,23,110.71
09/05/2014,0,114.74
09/05/2014,1,111.18
09/05/2014,2,108.34
09/05/2014,3,107.26
09/05/2014,4,107.0
09/05/2014,5,108.08
09/05/2014,6,114.54
09/05/2014,7,121.22
09/05/2014,8,122.79
09/05/2014,9,124.09
09/05/2014,10,123.23
09/05/2014,11,123.17
09/05/2014,12,123.53
09/05/2014,13,124.49
09/05/2014,14,121.7
09/05/2014,15,121.58
09/05/2014,16,121.29
09/05/2014,17,122.56
09/05/2014,18,121.74
09/05/2014,19,122.06
09/05/2014,20,124.0
09/05/2014,21,126.85
09/05/2014,22,123.62
09/05/2014,23,118.45
10/05/2014,0,121.52
10/05/2014,1,120.08
10/05/2014,2,116.14
10/05/2014,3,115.07
10/05/2014,4,114.83
10/05/2014,5,114.42
10/05/2014,6,115.3
10/05/2014,7,116.08
10/05/2014,8,114.03
10/05/2014,9,114.85
10/05/2014,10,115.47
10/05/2014,11,115.15
10/05/2014,12,114.97
10/05/2014,13,116.5
10/05/2014,14,114.69
10/05/2014,15,113.28
10/05/2014,16,111.8
10/05/2014,17,112.2
10/05/2014,18,111.07
10/05/2014,19,112.45
10/05/2014,20,114.41
10/05/2014,21,122.57
10/05/2014,22,117.02
10/05/2014,23,112.63
11/05/2014,0,115.41
11/05/2014,1,114.51
11/05/2014,2,113.01
11/05/2014,3,112.92
11/05/2014,4,112.26
11/05/2014,5,111.36
11/05/2014,6,109.75
11/05/2014,7,108.4
11/05/2014,8,107.68
11/05/2014,9,108.43
11/05/2014,10,109.38
11/05/2014,11,108.33
11/05/2014,12,108.21
11/05/2014,13,108.04
11/05/2014,14,106.79
11/05/2014,15,104.15
11/05/2014,16,102.22
11/05/2014,17,102.08
11/05/2014,18,104.66
11/05/2014,19,104.24
11/05/2014,20,111.15
11/05/2014,21,121.04
11/05/2014,22,121.98
11/05/2014,23,111.3
12/05/2014,0,111.87
12/05/2014,1,111.76
12/05/2014,2,110.56
12/05/2014,3,109.78
12/05/2014,4,110.36
12/05/2014,5,111.83
12/05/2014,6,114.62
12/05/2014,7,117.61
12/05/2014,8,121.84
12/05/2014,9,122.88
12/05/2014,10,122.36
12/05/2014,11,121.08
12/05/2014,12,122.09
12/05/2014,13,121.15
12/05/2014,14,115.63
12/05/2014,15,113.18
12/05/2014,16,111.64
12/05/2014,17,110.03
12/05/2014,18,110.11
12/05/2014,19,110.17
12/05/2014,20,111.33
12/05/2014,21,114.08
12/05/2014,22,110.43
12/05/2014,23,106.83
13/05/2014,0,102.64
13/05/2014,1,99.05
13/05/2014,2,96.87
13/05/2014,3,96.56
13/05/2014,4,96.36
13/05/2014,5,96.33
13/05/2014,6,104.14
13/05/2014,7,111.48
13/05/2014,8,112.7
13/05/2014,9,112.54
13/05/2014,10,111.85
13/05/2014,11,110.58
13/05/2014,12,111.42
13/05/2014,13,111.16
13/05/2014,14,107.6
13/05/2014,15,107.51
13/05/2014,16,106.34
13/05/2014,17,106.07
13/05/2014,18,105.28
13/05/2014,19,105.78
13/05/2014,20,106.96
13/05/2014,21,108.53
13/05/2014,22,102.27
13/05/2014,23,95.17
14/05/2014,0,96.12
14/05/2014,1,92.59
14/05/2014,2,88.28
14/05/2014,3,86.2
14/05/2014,4,88.04
14/05/2014,5,91.84
14/05/2014,6,100.94
